2026-06-10 06:21:32,379 - main - INFO - === Logging system initialized ===
2026-06-10 06:21:32,379 - main - INFO - Log file: logs/app_20260610_062132.log
2026-06-10 06:21:32,379 - main - INFO - Log level: INFO
2026-06-10 06:21:32,379 - main - INFO - Timestamp: 20260610_062132
2026-06-10 06:21:33,288 - main - INFO - Included router: routers.aihub.router
2026-06-10 06:21:33,300 - main - INFO - Included router: routers.analysis.router
2026-06-10 06:21:33,325 - main - INFO - Included router: routers.auth.router
2026-06-10 06:21:33,327 - main - INFO - Included router: routers.health.router
2026-06-10 06:21:33,352 - main - INFO - Included router: routers.settings.router
2026-06-10 06:21:33,390 - main - INFO - Included router: routers.storage.router
2026-06-10 06:21:33,398 - main - INFO - Included router: routers.user.router
2026-06-10 06:21:34,716 - watchfiles.main - DEBUG - 1 change detected: {(<Change.added: 1>, '/workspace/app/backend/logs/app_20260610_062134.log')}
2026-06-10 06:21:35,067 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:35,419 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:35,770 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:36,121 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062134.log')}
2026-06-10 06:21:36,471 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:36,822 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:37,173 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:37,524 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:37,875 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:38,226 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:38,577 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:38,928 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:39,278 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:39,664 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:40,015 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:40,366 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:40,717 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:41,068 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:41,419 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:41,770 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:42,120 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:42,471 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:42,822 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:43,173 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:43,524 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:43,875 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:44,226 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:44,577 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:44,928 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:45,279 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:45,630 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:45,981 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:46,332 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:46,683 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:47,034 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:47,385 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:47,736 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:48,086 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:48,437 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:48,788 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:49,139 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:49,490 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:49,841 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
2026-06-10 06:21:50,192 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260610_062132.log')}
