2026-06-12 12:37:42,739 - main - INFO - === Logging system initialized ===
2026-06-12 12:37:42,739 - main - INFO - Log file: logs/app_20260612_123742.log
2026-06-12 12:37:42,739 - main - INFO - Log level: INFO
2026-06-12 12:37:42,739 - main - INFO - Timestamp: 20260612_123742
2026-06-12 12:37:43,626 - main - INFO - Included router: routers.aihub.router
2026-06-12 12:37:43,645 - main - INFO - Included router: routers.analysis.router
2026-06-12 12:37:43,657 - main - INFO - Included router: routers.auth.router
2026-06-12 12:37:43,669 - main - INFO - Included router: routers.custom_auth.router
2026-06-12 12:37:43,713 - main - INFO - Included router: routers.doctor_patients.router
2026-06-12 12:37:43,715 - main - INFO - Included router: routers.health.router
2026-06-12 12:37:43,770 - main - INFO - Included router: routers.invite.router
2026-06-12 12:37:43,781 - main - INFO - Included router: routers.reports.router
2026-06-12 12:37:43,801 - main - INFO - Included router: routers.settings.router
2026-06-12 12:37:43,845 - main - INFO - Included router: routers.storage.router
2026-06-12 12:37:43,854 - main - INFO - Included router: routers.user.router
2026-06-12 12:37:43,904 - main - INFO - Included router: routers.users_profiles.router
2026-06-12 12:37:45,476 - watchfiles.main - DEBUG - 1 change detected: {(<Change.added: 1>, '/workspace/app/backend/logs/app_20260612_123745.log')}
2026-06-12 12:37:45,828 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_123742.log')}
2026-06-12 12:37:46,179 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_123742.log')}
2026-06-12 12:37:46,530 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_123745.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_123742.log')}
2026-06-12 12:37:46,881 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_123745.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_123742.log')}
2026-06-12 12:37:47,232 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_123742.log')}
2026-06-12 12:37:47,583 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_123742.log')}
2026-06-12 12:37:47,934 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_123742.log')}
2026-06-12 12:37:48,285 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_123742.log')}
2026-06-12 12:37:48,636 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_123742.log')}
2026-06-12 12:37:48,987 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_123742.log')}
2026-06-12 12:37:49,338 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_123742.log')}
2026-06-12 12:37:49,689 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_123742.log')}
2026-06-12 12:37:50,040 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_123742.log')}
2026-06-12 12:37:50,391 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_123742.log')}
2026-06-12 12:37:50,742 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_123742.log')}
2026-06-12 12:37:51,093 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_123742.log')}
